# File Name: D:\qPCR\Mono vs Coculture Trial 2 072825.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272531727
# Instrument Serial Number: 272531727
# Heated Cover Serial Number:
# Block serial number: 20280764
# Run Start Date/Time: 2025-07-28 11:06:12 AM EDT
# Run End Data/Time: 2025-07-28 12:58:06 PM EDT
# Run Duration: 111 minutes 54 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-07-28 04:24:07 PM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-07-28 04:27:48 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"K+ B","PGR","4","-","0","22.022673346403145","0.3033245600961268","0.1516622800480634",
"K+ B","TAT","4","-","0","25.871503648019804","0.25020368289436623","0.12510184144718312",
"K+ B","TFF","4","-","0","23.781455490670243","0.13381931623102908","0.06690965811551454",
"K+F B","Bactin","4","-","0","17.92877428490433","0.23105271283796028","0.11552635641898014",
"K+F B","ESR1","4","-","0","24.95903211887859","0.19033791616456486","0.09516895808228243",
"K+F B","ESR2","4","-","0","34.78486065270969","1.2089275555740397","0.6044637777870199",
"K+F B","GREB1","4","-","0","25.889351095522123","0.2034350256043286","0.1017175128021643",
"K+F B","Luc2","4","-","0","30.919057714530318","0.4023123856615288","0.2011561928307644",
"K+F B","PGR","4","-","0","23.70143849105363","0.38050037513811524","0.19025018756905762",
"K+F B","TAT","4","-","0","26.121139854317136","0.2790617510601026","0.1395308755300513",
"K+F B","TFF","4","-","0","26.521291415046612","0.20670575825815077","0.10335287912907538",
"K- B","Bactin","4","-","0","18.998353229283673","0.4299873496344495","0.21499367481722476",
"K- B","ESR1","4","-","0","25.304875471522937","0.255822760318909","0.1279113801594545",
"K- B","ESR2","4","-","0","34.63783371778777","0.8278539972063698","0.4139269986031849",
"K- B","GREB1","4","-","0","25.905765943946555","0.18876650525092248","0.09438325262546124",
"K- B","Luc2","4","-","0","27.61254572303092","0.15083144683462474","0.07541572341731237",
"K- B","PGR","4","-","0","23.020818260724212","0.6000585629693418","0.3000292814846709",
"K- B","TAT","4","-","0","25.977125019350982","0.12307763464139429","0.061538817320697145",
"K- B","TFF","4","-","0","27.22299478685958","0.2675516898754751","0.13377584493773756",
